,pl_name,ra,dec
17848,Kepler-1946 b,282.3355387,42.8453417
17849,Kepler-1745 b,293.4689924,42.8223582
17850,Kepler-1745 b,293.4689924,42.8223582
17851,Kepler-1924 b,293.767386,42.8291562
17852,Kepler-1924 b,293.767386,42.8291562
17853,Kepler-1780 b,294.0839282,42.8095104
17854,Kepler-1718 b,292.2349191,42.9094618
17855,Kepler-1718 b,292.2349191,42.9094618
17856,Kepler-1704 b,291.2012559,51.1442437
17857,Kepler-1949 b,293.5422586,43.0260555
17858,Kepler-1949 b,293.5422586,43.0260555
17859,Kepler-1884 b,296.7463986,43.0454207
17860,Kepler-1787 b,289.0643042,47.1174041
17861,Kepler-1752 b,290.8541401,51.2227435
17862,Kepler-1752 b,290.8541401,51.2227435
17863,Kepler-1752 b,290.8541401,51.2227435
17864,Kepler-1752 b,290.8541401,51.2227435
17865,Kepler-1903 b,290.8882981,51.2481617
17866,Kepler-1903 b,290.8882981,51.2481617
17867,Kepler-1670 b,290.3264599,43.121755
17868,Kepler-1863 b,282.2397185,43.2440854
17869,Kepler-1872 b,281.0491988,43.3225996
17870,Kepler-1713 b,287.3456737,43.3783894
17871,Kepler-1713 b,287.3456737,43.3783894
17872,Kepler-716 c,290.3931809,43.3638577
17873,Kepler-716 b,290.3931809,43.3638577
17874,Kepler-1931 b,290.8723061,43.3330104
17875,Kepler-1931 b,290.8723061,43.3330104
17876,Kepler-1954 b,298.0029203,43.3545882
17877,Kepler-1954 b,298.0029203,43.3545882
17878,Kepler-1856 b,295.9091695,51.3478777
17879,Kepler-1697 b,287.663331,43.4713782
17880,Kepler-1697 b,287.663331,43.4713782
17881,Kepler-1697 b,287.663331,43.4713782
17882,Kepler-1769 b,294.7433755,43.4611633
17883,Kepler-1867 b,294.9971007,43.4358698
17884,Kepler-1913 b,290.216689,44.7795863
17885,Kepler-1813 b,292.2399069,48.5115214
17886,Kepler-1666 b,297.9516071,46.2647024
17887,Kepler-598 c,293.1234493,40.9348005
17888,Kepler-511 c,282.9455384,47.5749181
17889,Kepler-1755 b,296.846092,40.1385777
17890,Kepler-1835 b,280.3148152,43.9856885
17891,Kepler-1907 c,280.7085829,47.3279236
17892,Kepler-1774 b,288.5743991,40.9886069
17893,Kepler-529 d,285.8884067,47.880364
17894,Kepler-1664 b,286.8527157,49.2616668
17895,Kepler-589 b,280.6414331,47.7520581
17896,Kepler-716 b,290.3931809,43.3638577
17897,Kepler-1723 b,294.4627362,46.8214022
17898,Kepler-1903 b,290.8882981,51.2481617
17899,Kepler-1935 b,296.4037783,39.7227036
17900,Kepler-1930 b,297.577145,40.0276768
17901,Kepler-1817 b,282.0333419,44.4779955
17902,Kepler-1906 b,293.8266166,38.8565906
17903,Kepler-1917 b,294.1038932,45.0013533
17904,Kepler-1717 b,295.2126472,49.56216
17905,Kepler-1600 b,291.3993802,38.7877563
17906,Kepler-1813 b,292.2399069,48.5115214
17907,Kepler-1937 b,290.6583922,40.7785383
17908,Kepler-1757 b,297.7397823,46.9418957
